Batsmen,Team,Batting Style,Bowling Style,Playing Role,Image,Description
Muhammad Usman,United Arab Emirates,Left hand Bat,Middle order Batter,United Arab Emirates,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320000/320099.png",
Ahmed Raza,United Arab Emirates,Right hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320000/320094.png","Six-foot-five Ahmed Raza is best known for his economical spells of left-arm spin. In a must-win World Cricket Division Two game for UAE against Oman in 2018, he conceded only 16 runs in nine overs for two wickets, and in an Asia Cup match against Oman in 2016, he took 1 for 6 from three overs. "
Muhammad Junaid Siddique,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/347800/347887.4.jpg",
Karthik Palaniapan Meiyappan,United Arab Emirates,Right hand Bat,Legbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/351500/351563.png",
Sandeep Goud,Oman,Right hand Bat,Right arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321700/321782.png",
Andrew Robert McBrine,Ireland,Left hand Bat,Right arm Offbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316681.png","A second-generation cricketer - his father Alexander ""Junior"" McBrine and uncle James McBrine both played for Ireland - Andy McBrine found a place in the 2012 U-10 side as a batting allrounder, but it would be his offspin that broke him into the senior team in 2014. "
Barry John McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319800/319870.png","Barry McCarthy is an Ireland seam bowler whose involvement with Durham owed much to a recommendation by their England allrounder, Ben Stokes, who faced him in the nets before a one-day international and advised his county to take a look. Durham did just that and McCarthy made his first-class debut in 2015. A maiden five-wicket haul for Durham against Lancashire in Chester-le-Street the following year added to the good impression he had built at Ireland Under-19 level and during a spell with the Australian grade side Randwick-Petersham. "
Kushal Bhurtel,Nepal,Right hand Bat,Right arm Medium,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/330400/330443.png",
Kushal Malla,Nepal,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/330400/330446.png",
Kamal Singh Airee,Nepal,Right hand Bat,Right arm Medium,Nepal Under-19s,,
Sandeep Lamichhane,Nepal,Right hand Bat,Legbreak Googly,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/330400/330467.png","Discovered as a 14-year-old by then Nepal coach Pubudu Dassanayake during a pit stop in the remote Chitwan Province on the way from Kathmandu to left-arm spinner Basant Regmi's wedding, Sandeep Lamichhane has continued to make the most of good fortune at every opportunity to come his way."
Abinash Bohara,Nepal,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321400/321434.png",
Jitendra Kumar Mukhiya,Nepal,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321700/321744.png",
Balapuwaduge Kusal Gimhan Mendis,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319800/319866.png","Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four. "
Ashton Charles Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321500/321559.png","Ashton Agar initially turned almost as many heads as he has turned cricket balls. At the age of 19 he had a place in the squads of Western Australia, Perth Scorchers, and the national team, having sensationally been upgraded from an internship on the 2013 tour of India to a more expansive role in Michael Clarke's squad. "
Roston Lamar Chase,West Indies,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322039.png","A tall offspin-bowling allrounder from Barbados, Roston Chase won a place in West Indies' Test team after strong showings with bat and ball in the 2015-16 Professional Cricket League. He scored 710 runs in ten matches at an average of 59.16, bowled more than he ever had in the past, and took 23 wickets at an average of 17.26 (including twin five-fors in a match against Guyana)."
Rohit Gurunath Sharma,India,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316584.png","Languid and easy on the eye, Rohit Sharma owned all the shots in the book when he emerged from the Mumbai suburbs as heir apparent to the Indian batting greats of the 2000s. It took him time and persistence, but by the 2010s he had become a colossus in white-ball cricket, and the man in charge of perhaps the most formidable league team in the first age of T20."
Ishan Pranav Kumar Pandey Kishan,India,Left hand Bat,Wicketkeeper,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/331100/331165.png","A wicketkeeper and left-handed opening batsman from Jharkhand, the same state MS Dhoni hails from, Ishan Kishan led India at the Under-19 World Cup in 2016 in Bangladesh, where his team finished runners-up to West Indies."
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316605.png","India has given to the world many a great cricketer but perhaps none as ambitious as Virat Kohli. To meet his ambition, Kohli employed the technical assiduousness of Sachin Tendulkar and fitness that was in the league of top athletes in the world, not just cricketers. As a result, Kohli became the most consistent all-format accumulator of his time, making jaw-dropping chases look easy, and finding, in his own words, the safest possible way to score runs. Plenty of them."
